temp,time,strain,tensile_strength,yield_strength
420,1,3.857916,237.3462048,190
420,1,3.671666,222.9900846,187
420,1,3.277084,217.0481098,179
420,1,3.81,225.1795732,172
420,12,3.822916,233.2014604,190
420,12,3.93375,238.493468,193
420,12,3.625416,233.3482,191
420,12,4.03375,234.8222222,185
420,24,4.8,299.2351875,238
420,24,4.736666,311.4297444,242
420,24,4.707084,302.5161796,248
440,1,4.917084,276.839988,216
440,1,4.817084,293.012561,222
440,1,4.986666,293.0193827,222
440,1,4.2425,272.3874393,213
440,12,5.562084,339.5138415,265
440,12,5.562084,339.5138415,253
440,12,5.471666,341.5223457,261
440,12,6.214584,352.0051875,236
440,24,8.78375,378.0219767,290
440,24,6.599584,332.515216,267
440,24,7.240834,358.0092993,270
460,1,6.922916,341.0374609,246
460,1,6.890834,337.1319607,364
460,1,5.778334,332.8724351,253
460,1,6.471666,347.0482584,250
460,12,9.925,393.4816207,297
460,12,12.530834,387.0242599,248
460,12,9.51375,401.2898305,316
460,12,8.270834,395.112145,302
460,24,17.925,480.1871647,353
460,24,17.431666,475.7564986,330
460,24,15.085834,441.0155492,350
470,1,12.72875,415.0026537,273
470,1,8.66875,364.0102469,248
470,1,9.05375,369.0769375,240
470,1,9.952084,382.1124074,292
470,12,11.82375,400.3413866,290
470,12,23.17084,442.638756,300
470,12,22.09985,476.733797,306
470,24,7.215,339.4856061,233
470,24,7.639584,359.6001512,271
470,24,8.281666,357.0452362,250
480,1,8.846666,322.159455,235
480,1,5.90875,308.0104532,253
480,1,7.812916,327.0555556,250
480,12,11.4525,360.5399558,250
480,12,13.015,403.3637932,290
480,12,12.6051072,393.208829,261
480,24,6.781666,397.2971674,220
480,24,7.655416,418.0785091,275
480,24,6.782916,426.0760659,325